Rk,Player,H-1st (avg),SB,CS,H-1st (min),1st-2nd Steal (avg),1st-2nd Steal (min),SS (max)
"1","宇都宮 葵","3.91","0","0","3.81",,,"9.57"
"2","周東 佑","4.74","4","1","3.8","4.62","3.65","9.54"
"3","佐藤 直","4.67","0","0","4.1","6.23","6.23","9.33"
"4","五十幡 亮","4.45","4","0","3.81","4.94","3.62","9.39"
"5","並木 秀","4.71","0","0","4.19","4.04","4.04","9.3"
"6","矢澤 宏","4.69","4","1","3.83","4.31","4.18","9.27"
"7","尾田 剛","4.06","2","0","3.71","4.78","4.78","9.17"
"8","辰見 鴻","4.28","5","0","4.21","4.07","3.91","9.36"
"9","麦谷 祐","4.6","1","1","4.07","3.98","3.95","9.17"
"10","岩田 幸","4.41","9","1","3.68","4.37","3.89","9.33"
"11","石上 泰","4.72","0","0","4.11",,,"9.11"
"12","髙部 瑛","4.34","2","1","3.93","4.55","3.73","9.14"
"13","水野 達","4.76","1","0","3.72","5.06","4.14","9.27"
"14","藤原 恭","4.71","2","1","4.15","4.5","3.79","9.17"
"15","門脇 誠","4.33","0","1","3.75","4.7","4.7","9.08"
"16","小深田 大","4.6","5","0","3.8","4.29","3.83","9.11"
"17","平山 功","4.61","0","0","4.33","5.41","5.41","9.05"
"18","田中 幹","4.92","2","1","3.79","4.14","3.74","9.11"
"19","小郷 裕","4.66","3","2","3.94","4.45","4.07","9.08"
"20","谷川原 健","4.5","0","0","4.08","5.72","5.72","9.02"
"21","近本 光","4.69","6","1","3.97","4.28","3.85","9.51"
"22","岡 大","4.95","2","0","4.35","4.96","3.73","9.02"
"23","滝澤 夏","4.34","1","2","3.81","4.53","3.84","9.05"
"24","髙寺 望","4.57","1","0","4.13","4.31","4.31","9.05"
"25","庄子 雄",,"0","0",,,,"8.96"
"26","中島 大","4.45","3","0","3.74","4.61","4.19","9.08"
"27","植田 海",,"1","0",,"4.14","3.61","8.93"
"28","福永 裕","4.87","4","0","4.2","4.81","3.6","9.17"
"29","中野 拓","4.69","3","1","3.74","4.32","3.83","9.14"
"30","渡部 遼","4.62","7","0","3.86","3.85","3.74","9.08"
"31","小川 龍","4.6","2","0","3.8","5.81","5.46","9.02"
"32","来田 涼","4.5","0","0","4.04",,,"8.93"
"33","マッカスカー カ","5.3","0","0","4.58","6.13","6.13","8.93"
"34","岡林 勇","4.9","1","0","4.03","4.92","4.92","9.02"
"35","浦田 俊","4.33","5","0","3.86","4.04","3.75","9.05"
"36","源田 壮","4.6","0","0","3.99","5.3","5.06","9.14"
"37","福島 圭","4.29","2","2","4.03","4.64","4.35","8.96"
"38","牧原 大","4.72","0","0","3.98","5.39","5.39","9.08"
"39","村松 開","4.68","1","2","4","5.04","4.21","8.99"
"40","梶原 昂","4.38","1","0","4.12","4.66","4.01","8.99"
"41","大塚 瑠","4.38","0","0","4.16",,,"8.93"
"42","秋山 俊","4.55","0","0","4.11",,,"8.9"
"43","鵜飼 航","4.74","0","0","4.23","5.91","5.91","8.9"
"44","佐藤 太","4.62","0","0","4.11",,,"8.87"
"45","佐々木 俊","4.65","1","2","4.03","3.88","3.86","9.05"
"46","山縣 秀","4.72","0","0","4.09",,,"8.87"
"47","上田 希","4.49","0","1","4.09","4.05","4.05","8.93"
"48","山口 航","5.22","0","0","4.37",,,"8.84"
"49","大盛 穂","4.58","5","0","4.07","4.59","3.96","9.6"
"50","水谷 瞬","4.96","0","0","4.31",,,"9.11"
