Rk,Player,1st-2nd Steal (avg),1st-2nd Steal (min),SS (max),H-1st (avg),H-1st (min)
"1","宇都宮 葵",,,"9.57","3.91","3.81"
"2","周東 佑","5","3.65","9.54","4.76","3.8"
"3","佐藤 直","6.23","6.23","9.33","4.67","4.1"
"4","五十幡 亮","4.94","3.62","9.39","4.41","3.81"
"5","並木 秀","4.04","3.89","9.3","4.68","4.19"
"6","矢澤 宏","4.31","4.18","9.27","4.68","3.83"
"7","辰見 鴻","4.07","3.91","9.36","4.28","4.21"
"8","尾田 剛","4.6","4.28","9.17","4.06","3.71"
"9","麦谷 祐","3.98","3.95","9.17","4.6","4.07"
"10","庄子 雄",,,"9.24",,
"11","岩田 幸","4.32","3.6","9.33","4.43","3.68"
"12","石上 泰",,,"9.11","4.72","4.11"
"13","髙部 瑛","4.55","3.73","9.14","4.35","3.93"
"14","平良 竜","4.2","3.92","9.36","4.61","4.14"
"15","門脇 誠","4.7","4.7","9.08","4.32","3.75"
"16","藤原 恭","4.54","3.79","9.17","4.76","4.01"
"17","小深田 大","4.29","3.83","9.11","4.6","3.8"
"18","小郷 裕","4.45","4.07","9.08","4.69","3.94"
"19","福永 裕","4.85","3.6","9.17","4.88","4.03"
"20","谷川原 健","5.72","5.72","9.02","4.5","4.08"
"21","近本 光","4.28","3.85","9.51","4.69","3.97"
"22","田中 幹","4.14","3.74","9.3","4.93","3.79"
"23","岡 大","4.96","3.73","9.02","4.95","4.35"
"24","水野 達","5.46","4.14","9.27","4.77","3.72"
"25","牧原 大","4.63","3.89","9.17","4.7","3.96"
"26","小川 龍","5.36","4.44","9.08","4.54","3.8"
"27","滝澤 夏","4.59","3.84","9.08","4.34","3.71"
"28","熊谷 敬","4.51","4.25","9.05","4.7","4.24"
"29","平山 功","5.41","5.41","9.05","4.75","4.17"
"30","植田 海","4.14","3.61","8.93",,
"31","鵜飼 航","4.94","3.97","9.11","4.66","4.14"
"32","中島 大","4.54","4.19","9.08","4.47","3.74"
"33","渡部 遼","3.85","3.74","9.08","4.57","3.86"
"34","来田 涼","4.04","4.04","8.93","4.47","3.9"
"35","岡城 快","5.17","4.1","8.93","4.64","4.28"
"36","中野 拓","4.32","3.83","9.14","4.76","3.74"
"37","岡林 勇","4.92","4.92","9.02","4.9","4.03"
"38","若林 楽",,,"8.9","5.02","4.27"
"39","福島 圭","4.64","4.35","8.99","4.28","3.97"
"40","小幡 竜","4.95","3.91","9.11","4.77","3.85"
"41","源田 壮","5.3","5.06","9.14","4.63","3.99"
"42","髙寺 望","4.47","4.31","9.05","4.55","4.05"
"43","浦田 俊","4.01","3.75","9.05","4.46","3.86"
"44","梶原 昂","4.66","4.01","8.99","4.38","4.12"
"45","秋山 俊",,,"8.9","4.55","4.11"
"46","佐々木 俊","3.86","3.81","9.05","4.66","4.03"
"47","野村 勇","6.56","5.49","9.2","5.07","4.17"
"48","佐藤 太",,,"8.87","4.62","4.11"
"49","村松 開","5.61","4.21","8.99","4.67","4"
"50","山縣 秀",,,"8.87","4.72","4.09"
