Rk,Player,Team,Game,H-1st (SEC),1st-2nd Steal (SEC),SS (M/S)
1,小川 龍,ロ,2026-05-09 ロ @ ソ,3.63,,9.0
2,岩田 幸,ヤ,2026-04-10 ヤ @ 巨,3.68,,9.0
3,小川 龍,ロ,2026-05-13 日 @ ロ,3.68,,9.1
4,小川 龍,ロ,2026-05-06 ロ @ オ,3.69,,9.0
5,尾田 剛,中,2026-04-03 中 @ ヤ,3.71,,9.2
6,滝澤 夏,西,2026-05-01 西 @ ロ,3.71,,9.0
7,水野 達,日,2026-04-22 楽 @ 日,3.72,,9.1
8,辰見 鴻,広,2026-05-17 広 @ 神,3.72,,9.1
9,中島 大,楽,2026-03-29 楽 @ オ,3.74,,8.9
10,田宮 裕,日,2026-05-16 西 @ 日,3.74,,9.0
11,中野 拓,神,2026-03-31 デ @ 神,3.74,,9.1
12,門脇 誠,巨,2026-04-01 巨 @ 中,3.75,,9.0
13,岩田 幸,ヤ,2026-04-02 広 @ ヤ,3.77,,9.3
14,田中 幹,中,2026-04-08 中 @ デ,3.79,,9.1
15,五十幡 亮,日,2026-05-16 西 @ 日,3.79,,9.4
16,小川 龍,ロ,2026-04-15 日 @ ロ,3.80,,8.9
17,福島 圭,神,2026-05-12 神 @ ヤ,3.80,,9.0
18,周東 佑,ソ,2026-04-23 ソ @ 西,3.80,,9.5
19,滝澤 夏,西,2026-05-08 楽 @ 西,3.80,,9.1
20,小深田 大,楽,2026-04-14 楽 @ ソ,3.80,,9.1
21,滝澤 夏,西,2026-04-05 楽 @ 西,3.81,,8.8
22,宇都宮 葵,巨,2026-04-17 巨 @ ヤ,3.81,,9.1
23,五十幡 亮,日,2026-04-01 ロ @ 日,3.81,,9.3
24,岩田 幸,ヤ,2026-04-04 中 @ ヤ,3.81,,9.1
25,小川 龍,ロ,2026-04-19 ロ @ 楽,3.81,,8.7
26,佐々木 俊,巨,2026-05-17 デ @ 巨,3.82,,8.9
27,矢澤 宏,日,2026-04-17 西 @ 日,3.83,,9.3
28,周東 佑,ソ,2026-05-13 西 @ ソ,3.84,,9.5
29,髙部 瑛,ロ,2026-05-09 ロ @ ソ,3.85,,9.3
30,小幡 竜,神,2026-04-17 中 @ 神,3.85,,8.9
31,滝澤 夏,西,2026-04-03 楽 @ 西,3.85,,8.9
